시도,주차장명,주차장유형 (노상/노외/부설),주소,위도,경도,관리기관,전화번호 (주차장관리자),"'18.2.14(수), 개방시작시간","'18.2.14(수), 개방종료시간","'18.2.15(목), 개방시작시간","'18.2.15(목), 개방종료시간","'18.2.16(금), 개방시작시간","'18.2.16(금), 개방종료시간","'18.2.17(토), 개방시작시간","'18.2.17(토), 개방종료시간","'18.2.18(일), 개방시작시간","'18.2.18(일), 개방종료시간",특이사항,
강원도,동부시장,노외,강원도 춘천시 동부시장길 8-10,37.8768903,127.7342144,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,중앙노외,노외,강원도 춘천시 죽림동 93번지외(4필지),37.877075,127.7251949,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,새명동,노외,강원도 춘천시 조운동 60-3번지,37.8796757,127.7296357,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,석사근린공원,노외,강원도 춘천시 석사동 804번지외(4필지),37.8561212,127.7388449,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,낙원노외,노외,강원도 춘천시 낙원동 63-3번지일원,37.8791909,127.7253508,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,(구)춘여고 시청사,노외,강원도 춘천시 삭주로3,37.8823499,127.7331546,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,스카이워크,노외,강원도 춘천시 근화동 47-7,37.880565,127.7124994,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,석사노외,노외,강원도 춘천시 석사동 658번지,37.8582707,127.7407374,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,약사명동사,노외,강원도 춘천시 죽림동 109-4번지,37.8767783,127.7246993,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,견인보관소,노외,강원도 춘천시 근화동 737번지,37.8778362,127.7145227,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,강촌노외,노외,강원도 춘천시 강촌리 243번지,37.8132961,127.6339139,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,서부노외,노외,강원도 춘천시 소양로2가 45-1번지,37.8861848,127.7238639,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,서부시장,노외,강원도 춘천시 소양로2가 162-9번지,37.8854433,127.7242805,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,약사노외,노외,강원도 춘천시 약사동 25-4번지,37.8752125,127.7278674,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,춘천중학교뒤,노외,강원도 춘천시 근화동 710-49번지,37.8741415,127.7203192,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,택지개발지구내,노외,강원도 춘천시 후평3동 876번지,37.8756784,127.7580431,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,택지개발지구내,노외,강원도 춘천시 후평3동 871-4번지,37.8759745,127.757883,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,후평 노외,노외,강원도 춘천시 후평3동 891-7번지,37.8724106,127.7529263,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,택지개발지구내,노외,강원도 춘천시 석사동 649번지,37.8611188,127.7419628,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
강원도,택지개발지구내,노외,강원도 춘천시 석사동 680번지,37.8581589,127.7456745,춘천도시공사,033-240-1656,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,연휴기간 무료운영,
