시도,주차장명,주차장유형 (노상/노외/부설),주소,위도,경도,관리기관,전화번호 (주차장관리자),"'18.9.22(토), 개방시작시간","'18.9.22(토), 개방종료시간","18.9.23(일), 개방시작시간","18.9.23(일), 개방종료시간","18.9.24(월), 개방시작시간","18.9.24(월), 개방종료시간","18.9.25(화), 개방시작시간","18.9.25(화),개방종료시간","18.9.26(수), 개방시작시간","18.9.26(수), 개방종료시간",특이사항,,,,,,,,,,,,,,,,,
충청북도,충북도청부설주차장,부설,충청북도 청주시 상당구 상당로 82,36.33,127.164,충청북도 총무과,043-220-2516,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,휴일만 개방,,,,,,,,,,,,,,,,,
충청북도,청주시청 부설 주차장,부설,충청북도 청주시 상당구 상당고 155(북문로3가),36.641867,127.488728,청주시 행정지원과,043-201-1513,20:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,청주시 청원구청,부설,충청북도 청주시 청원구 직지대로 871,36.65,127.48,충청북도 청원구청,043-201-8047,20:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,,,,,,,,,,,,,,,,,
충청북도,어린이회관 주차장,부설,충청북도 청주시 상당구 명암동 73-4,36.649874,127.514805,청주랜드관리사업소,043-201-4863,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,,,,,,,,,,,,,,,,,
충청북도,청주시립미술관 주차장,노외,충청북도 청주시 서원구 충렬로18번길 50,36.388,127.2849,청주시립미술관,043-201-2650,10:00,17:00,10:00,17:00,,,10:00,17:00,10:00,17:00,설날 당일 휴관,,,,,,,,,,,,,,,,,
충청북도,청주시 상당구청,부설,충청북도 청주시 상당구 상당로69번길 38,36.634534,127.488401,충북청주시상당구청,043-201-5014,20:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,주차장협소,,,,,,,,,,,,,,,,,
충청북도,청주 체육시설 부설 주차장,부설,충청북도 청주시 서원구 사직동 808 번지 일대,36.38,127.28,충청북도 청주시청 체육시설관리과,043-201-2375,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,휴일 상시개방,,,,,,,,,,,,,,,,,
충청북도,청주시 흥덕구청,부설,충청북도 청주시 흥덕구 복대1동 대농로 88 ,36.6414424,127.4292881,청주시 흥덕구청,043-201-7222,20:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,,,,,,,,,,,,,,,,,
충청북도,청주시 서원구청,부설,충청북도 청주시 서원구 사직대로 227,36.6375895,127.4676196,청주시 서원구청,043-201-6222,20:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,,,,,,,,,,,,,,,,,
충청북도,청주시 농업기술센터 야외 운동장,노외,충청북도 청주시 상당구 남일면 단재로 480,36.351922,127.301712,청주시농업기술센터,043-201-3815,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,"24시간 개방, 소형차(1톤이하)에 한함.",,,,,,,,,,,,,,,,,
