교육청,주차장명(학교명),주차장유형 (노상/노외/부설),주소,위도,경도,관리기관,전화번호 (주차장관리자),"'18.2.14(수), 개방시작시간","'18.2.14(수), 개방종료시간","'18.2.15(목), 개방시작시간","'18.2.15(목), 개방종료시간","'18.2.16(금), 개방시작시간","'18.2.16(금), 개방종료시간","'18.2.17(토), 개방시작시간","'18.2.17(토), 개방종료시간","'18.2.18(일), 개방시작시간","'18.2.18(일), 개방종료시간",특이사항,
강원도,강동초등학교,노상,강원도 강릉시 강동면 단경로20,,,,033-645-7268,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,강릉초등학교,노상,강원도 강릉시 토성로 103,,,,033-650-2610,,,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,,
강원도,사천초등학교,노상,강원도 강릉시 사천면 미노길46,,,,033-660-6500,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,옥계초등학교,노외,강원도 강릉시 옥계면 옥계로 1074,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,옥천초등학교,노상,강원도 강릉시 수문길 25(옥천동 111),,,,033-650-6800,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,율곡초등학교,노상,강원도 강릉시 원대로 129,,,,033-650-8600,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,임곡초등학교,노상,강원도 강릉시 강동면 임곡로 890-14,,,,033-648-2071,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,주영초등학교,노상,강원도 강릉시 주문진읍 약수동길 15-12,,,,,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,중앙초등학교,노상,강원도 강릉시 성덕포남로18,,,,033-650-8454,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,포남초등학교,노상,강원도 강릉시 가작로287번길 20,,,,033-610-1000,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,거성초등학교,부설,강원도 고성군 거진읍 거성길 38,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,도학초등학교,부설,강원도 고성군 토성면,,,,033-632-1489,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,아야진초등학교,노상,강원도 고성군 토성면 아야진길 15,,,,033-631-2753,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,오호초등학교,노상,강원도 고성군 죽왕면 황포길 28,,,,033-631-7537,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
