시도,주차장명,주차장유형 (노상/노외/부설),주소,위도,경도,관리기관,전화번호 (주차장관리자),"'18.9.22(토), 개방시작시간","'18.9.22(토), 개방종료시간","18.9.23(일), 개방시작시간","18.9.23(일), 개방종료시간","18.9.24(월), 개방시작시간","18.9.24(월), 개방종료시간","18.9.25(화), 개방시작시간","18.9.25(화), 개방종료시간","18.9.26(수), 개방시작시간","18.9.26(수), 개방종료시간",특이사항,
강원도,강동초등학교,노상,강원도 강릉시 강동면 단경길 20,37.725,128.963,강동초등학교,033-645-7268,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,
강원도,강릉초등학교,노상,강원도 강릉시 토성로 103,37.451,128.532,강릉초등학교,033-650-2610,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,
강원도,성덕초등학교,부설,강원도 강릉시 용지로 60,0.000,0.000,성덕초,033-640-4193,12:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,18:00,,
강원도,송양초등학교,노외,강원도 강릉시 성산면 위촌길 198,37.759,128.847,송양초등학교,033-644-8990,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,신영초등학교,노상,강원도 강릉시 주문북로160,37.907,128.822,신영초등학교,033-660-6091,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,신왕초등학교,부설,강원도 강릉시 연곡면 진고개로 2265-11,37.000,128.000,신왕초등학교 행정실,033-660-7555,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,옥계초등학교,노상,강원도 강릉시 옥계면 옥계로 1074,0.000,0.000,옥계초등학교,033-534-0026,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,옥천초등학교,노상,강원도 강릉시 수문길25,37.763,128.902,옥천초등학교,033-650-6800,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,옥천초등학교운산분교장,노상,강원도 강릉시 운산길 79-15,37.731,128.937,옥천초등학교운산분교장,033-645-9200,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,율곡초등학교,노상,강원도 강릉시 원대로 129,37.767,128.882,율곡초등학교,033-650-8600,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,중앙초등학교,부설,강원도 강릉시 성덕포남로18,37.750,128.920,중앙초,033-650-8453,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,포남초등학교,부설,강원도 강릉시 가작로 287번길 20,0.000,0.000,포남초등학교,033-610-1000,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,
강원도,한솔초등학교,노상,강원도 강릉시 하평2길 45,37.774,128.914,한솔초등학교,033-650-4292,08:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,18:00,,
강원도,강릉중학교,노상,강원도 강릉시 강중길44번길 8,37.754,128.910,강릉중학교,033-650-6000,10:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,16:00,,
강원도,강릉해람중학교,노상,강원도 강릉시 명주로25,0.000,0.000,강릉해람중학교,033-650-5000,06:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,관동중학교,노상,강원도 강릉시 하슬라로 20번길 14,37.758,128.880,관동중학교,033-650-4655,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,18:00,,
강원도,동명중학교,부설,강원도 강릉시 보래미하길79번길 21,0.000,0.000,동명중학교,033-610-8802,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,솔올중학교,노상,강원돈 강릉시 솔올로 102,0.000,0.000,솔올중학교,033-660-2100,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,
강원도,율곡중학교,부설,강원도 강릉시 가작로 125,37.770,128.880,율곡중학교,033-610-5200,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,하슬라중학교,노상,강원도 강릉시 보래미길 9,0.000,0.000,하슬라중학교,033-660-8800,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,강릉고등학교,부설,"강원도 강릉시 강릉대로 587번길 68, 강릉고등학교",0.000,0.000,강릉고등학교,033-650-5108,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,강릉여자고등학교,노상,강원도 강릉시 용지로 107,0.000,0.000,강릉여자고등학교,033-650-9900,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,강릉중앙고등학교,노상,강원도 강릉시 강변로 422,37.757,128.914,강릉중앙고등학교,033-610-6600,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,18:00,,
강원도,주문진고등학교,노상,강원도 강릉시 주문진읍 학교길 28,37.881,128.830,주문진고등학교,033-660-7007,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,강릉명륜고등학교,노상,강원도 강릉시 율곡로 2920-8,0.000,0.000,강릉명륜고등학교,033-650-4533,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,18:00,,
강원도,강릉오성학교,노상,강원도 강릉시 송정길 43,37.780,128.932,강릉오성학교,033-820-5099,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,강릉교육문화관,노상,강원도 강릉시 노암등길 37-1,37.748,128.900,강릉교육문화관,033-640-9960,18:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
강원도,강원도교육연수원,노상,강원도 강릉시 강릉대로 587번길 42,0.000,0.000,강원도교육연수원,033-640-9544,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,00:00,24:00,,
