,시도,주차장명,주차장유형,주소,위도,경도,관리기관,전화번호,특이사항,9_22(토),9_23(일),9_24(월),9_25(화),9_26(수)
0,충청북도,충북도청부설주차장,부설,충청북도 청주시 상당구 상당로 82,36.6358093,127.4913338,충청북도 총무과,043-220-2516,휴일만 개방,"22,06:00~22:00","23,06:00~22:00","24,06:00~22:00","25,06:00~22:00","26,06:00~22:00"
1,충청북도,청주시청 부설 주차장,부설,충청북도 청주시 상당구 상당고 155(북문로3가),36.6413283,127.4896446,청주시 행정지원과,043-201-1513,,"22,20:00~24:00:00","23,00:00~24:00:00","24,00:00~24:00:00","25,00:00~24:00:00","26,00:00~24:00:00"
2,충청북도,청주시 청원구청,부설,충청북도 청주시 청원구 직지대로 871,36.651412,127.4863156,충청북도 청원구청,043-201-8047,24시간 개방,"22,20:00~24:00:00","23,00:00~24:00:00","24,00:00~24:00:00","25,00:00~24:00:00","26,00:00~24:00:00"
3,충청북도,어린이회관 주차장,부설,충청북도 청주시 상당구 명암동 73-4,36.6497156,127.5148254,청주랜드관리사업소,043-201-4863,24시간 개방,"22,00:00~24:00:00","23,00:00~24:00:00","24,00:00~24:00:00","25,00:00~24:00:00","26,00:00~24:00:00"
4,충청북도,청주시립미술관 주차장,노외,충청북도 청주시 서원구 충렬로18번길 50,36.6401567,127.4811134,청주시립미술관,043-201-2650,설날 당일 휴관,"22,10:00~17:00","23,10:00~17:00",,"25,10:00~17:00","26,10:00~17:00"
5,충청북도,청주시 상당구청,부설,충청북도 청주시 상당구 상당로69번길 38,36.6346225,127.4882039,충북청주시상당구청,043-201-5014,주차장협소,"22,20:00~24:00:00","23,00:00~24:00:00","24,00:00~24:00:00","25,00:00~24:00:00","26,00:00~24:00:00"
6,충청북도,청주 체육시설 부설 주차장,부설,충청북도 청주시 서원구 사직동 808 번지 일대,36.6392401,127.4714328,충청북도 청주시청 체육시설관리과,043-201-2375,휴일 상시개방,"22,00:00~24:00:00","23,00:00~24:00:00","24,00:00~24:00:00","25,00:00~24:00:00","26,00:00~24:00:00"
7,충청북도,청주시 흥덕구청,부설,충청북도 청주시 흥덕구 복대1동 대농로 88 ,36.643276,127.4264358,청주시 흥덕구청,043-201-7222,24시간 개방,"22,20:00~24:00:00","23,00:00~24:00:00","24,00:00~24:00:00","25,00:00~24:00:00","26,00:00~24:00:00"
8,충청북도,청주시 서원구청,부설,충청북도 청주시 서원구 사직대로 227,36.6375895,127.4698136,청주시 서원구청,043-201-6222,24시간 개방,"22,20:00~24:00:00","23,00:00~24:00:00","24,00:00~24:00:00","25,00:00~24:00:00","26,00:00~24:00:00"
9,충청북도,청주시 농업기술센터 야외 운동장,노외,충청북도 청주시 상당구 남일면 단재로 480,36.588251,127.505309,청주시농업기술센터,043-201-3815,"24시간 개방, 소형차(1톤이하)에 한함.","22,00:00~24:00:00","23,00:00~24:00:00","24,00:00~24:00:00","25,00:00~24:00:00","26,00:00~24:00:00"
