,시도,주차장명,주차장유형,주소,위도,경도,관리기관,전화번호,특이사항,9_22(토),9_23(일),9_24(월),9_25(화),9_26(수)
0,강원도,강동초등학교,노상,강원도 강릉시 강동면 단경길 20,37.7244694,128.9631888,강동초등학교,033-645-7268,,"22,09:00~17:00","23,09:00~17:00","24,09:00~17:00","25,09:00~17:00","26,09:00~17:00"
1,강원도,강릉초등학교,노상,강원도 강릉시 토성로 103,37.7533982,128.8875464,강릉초등학교,033-650-2610,,"22,09:00~17:00","23,09:00~17:00","24,09:00~17:00","25,09:00~17:00","26,09:00~17:00"
2,강원도,성덕초등학교,부설,강원도 강릉시 용지로 60,37.7564689,128.9106898,성덕초,033-640-4193,,"22,12:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
3,강원도,송양초등학교,노외,강원도 강릉시 성산면 위촌길 198,37.7588439,128.8476441,송양초등학교,033-644-8990,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
4,강원도,신영초등학교,노상,강원도 강릉시 주문북로160,37.9064861,128.8228267,신영초등학교,033-660-6091,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
5,강원도,신왕초등학교,부설,강원도 강릉시 연곡면 진고개로 2265-11,37.8427102,128.7328671,신왕초등학교 행정실,033-660-7555,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
6,강원도,옥계초등학교,노상,강원도 강릉시 옥계면 옥계로 1074,37.6097358,129.0351814,옥계초등학교,033-534-0026,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
7,강원도,옥천초등학교,노상,강원도 강릉시 수문길25,37.7566994,128.9025126,옥천초등학교,033-650-6800,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
8,강원도,옥천초등학교운산분교장,노상,강원도 강릉시 운산길 79-15,37.7298632,128.9377493,옥천초등학교운산분교장,033-645-9200,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
9,강원도,율곡초등학교,노상,강원도 강릉시 원대로 129,37.7664283,128.8817138,율곡초등학교,033-650-8600,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
10,강원도,중앙초등학교,부설,강원도 강릉시 성덕포남로18,37.7581458,128.9229443,중앙초,033-650-8453,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
11,강원도,포남초등학교,부설,강원도 강릉시 가작로 287번길 20,37.77311479999999,128.9057008,포남초등학교,033-610-1000,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
12,강원도,한솔초등학교,노상,강원도 강릉시 하평2길 45,37.7742403,128.9142064,한솔초등학교,033-650-4292,,"22,08:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
13,강원도,강릉중학교,노상,강원도 강릉시 강중길44번길 8,37.7532046,128.9103275,강릉중학교,033-650-6000,,"22,10:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~16:00"
14,강원도,강릉해람중학교,노상,강원도 강릉시 명주로25,37.7523845,128.8887406,강릉해람중학교,033-650-5000,,"22,06:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
15,강원도,관동중학교,노상,강원도 강릉시 하슬라로 20번길 14,37.75724880000001,128.8797811,관동중학교,033-650-4655,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
16,강원도,동명중학교,부설,강원도 강릉시 보래미하길79번길 21,37.77734179999999,128.9133682,동명중학교,033-610-8802,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
17,강원도,솔올중학교,노상,강원돈 강릉시 솔올로 102,37.77124180000001,128.879864,솔올중학교,033-660-2100,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
18,강원도,율곡중학교,부설,강원도 강릉시 가작로 125,37.7706919,128.888677,율곡중학교,033-610-5200,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
19,강원도,하슬라중학교,노상,강원도 강릉시 보래미길 9,37.7722462,128.9067572,하슬라중학교,033-660-8800,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
20,강원도,강릉고등학교,부설,"강원도 강릉시 강릉대로 587번길 68, 강릉고등학교",37.787813,128.9168314,강릉고등학교,033-650-5108,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
21,강원도,강릉여자고등학교,노상,강원도 강릉시 용지로 107,37.7590852,128.9033417,강릉여자고등학교,033-650-9900,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
22,강원도,강릉중앙고등학교,노상,강원도 강릉시 강변로 422,37.7579665,128.9109033,강릉중앙고등학교,033-610-6600,,"22,07:00~22:00","23,07:00~22:00","24,07:00~22:00","25,07:00~22:00","26,07:00~18:00"
23,강원도,주문진고등학교,노상,강원도 강릉시 주문진읍 학교길 28,37.8813628,128.8306386,주문진고등학교,033-660-7007,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
24,강원도,강릉명륜고등학교,노상,강원도 강릉시 율곡로 2920-8,37.7630795,128.8945932,강릉명륜고등학교,033-650-4533,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
25,강원도,강릉오성학교,노상,강원도 강릉시 송정길 43,37.7791947,128.9303508,강릉오성학교,033-820-5099,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
26,강원도,강릉교육문화관,노상,강원도 강릉시 노암등길 37-1,37.7459204,128.8996947,강릉교육문화관,033-640-9960,,"22,18:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
27,강원도,강원도교육연수원,노상,강원도 강릉시 강릉대로 587번길 42,37.7865379,128.9181759,강원도교육연수원,033-640-9544,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
28,강원도,강원도교육연수원,노상,강원도 강릉시 공항길 20번길 52-1,37.7588813,128.9397928,강원도교육연수원,033-640-9545,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
29,강원도,명주교육도서관,노상,강원도 강릉시 주문진읍 해안3길11,37.8867734,128.8263907,명주교육도서관,033-660-6905,9.22.(토) 개관일.,"22,08:30~23:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
